Species,trName,presentInGardnerTree,tip,position,node,distUp,justification,reference,notes,Higher_taxon,Region,Comments.corrections,deleteReason,sequenced_gall_inducers,comments_ar
Quercus_margarettae,Quercus_margarettae,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_marilandica,Quercus_marilandica,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_michauxii,Quercus_michauxii,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_minima,Quercus_minima,x,,,,NA,,,,Quercus_section_Virentes,Nearctic,,,y,retain
Quercus_mongolica,Quercus_mongolica,x,,,,NA,,,,Quercus_section_Quercus,Eastern Palearctic and Oriental,,,y,retain
Quercus_monimotricha,Quercus_monimotricha,x,,,,NA,,,,Quercus_section_Ilex,Eastern Palearctic and Oriental,,,y,retain
Quercus_montana,Quercus_montana,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_morii,Quercus_morii,,Quercus_morii,sister to Q. acuta (tentative),Quercus_acuta,2,Was treated as a variety of Q. acuta in Camus,http://oaks.of.the.world.free.fr/quercus_morii.htm,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,,,y,retain
Quercus_multinervis,Quercus_multinervis,x,,,,NA,accpeted name should be Q. hypargyrea,,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,Not in Denk et al. Elsewhere has been treated as a variety of glauca (Quercus glauca var. hypargyrea Seemen ex Diels),,n,delete
Quercus_myrsinifolia,Quercus_myrsinifolia,x,,,,NA,,,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,,,n,delete
Quercus_myrtifolia,Quercus_myrtifolia,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_nigra,Quercus_nigra,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_oblongifolia,Quercus_oblongifolia,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_obtusata,Quercus_obtusata,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_oleoides,Quercus_oleoides,x,,,,NA,,,,Quercus_section_Virentes,Nearctic,,,y,retain
